#Release 10.1.03 - par K.39 (nt)
#Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

#Tue Jul 20 12:14:41 2010

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc2vp50
#SPEED GRADE:      -7
#PACKAGE:          ff1152
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
AH32,,DIFFS,IO_L19N_6,UNUSED,,6,,,,,,,,,,
AH33,phy_slew<0>,IOB,IO_L24P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AH34,phy_slew<1>,IOB,IO_L24N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AJ1,,DIFFS,IO_L18N_3,UNUSED,,3,,,,,,,,,,
AJ2,,DIFFM,IO_L18P_3,UNUSED,,3,,,,,,,,,,
AJ3,,,VCCO_3,,,3,,,,,2.50,,,,,
AJ4,,DIFFS,IO_L01N_3/VRP_3,UNUSED,,3,,,,,,,,,,
AJ5,,DIFFM,IO_L01P_3/VRN_3,UNUSED,,3,,,,,,,,,,
AJ6,,,GND,,,,,,,,,,,,,
AJ7,,DIFFS,IO_L02N_3,UNUSED,,3,,,,,,,,,,
AJ8,,DIFFM,IO_L02P_3,UNUSED,,3,,,,,,,,,,
AJ9,,DIFFS,IO_L20N_4,UNUSED,,4,,,,,,,,,,
AJ10,,,VCCO_4,,,4,,,,,2.50,,,,,
AJ11,,DIFFS,IO_L39N_4,UNUSED,,4,,,,,,,,,,
AJ12,,DIFFM,IO_L26P_4,UNUSED,,4,,,,,,,,,,
AJ13,,DIFFS,IO_L44N_4,UNUSED,,4,,,,,,,,,,
AJ14,,IOB,IO_L50_4/No_Pair,UNUSED,,4,,,,,,,,,,
AJ15,,DIFFM,IO_L56P_4,UNUSED,,4,,,,,,,,,,
AJ16,,DIFFM,IO_L68P_4,UNUSED,,4,,,,,,,,,,
AJ17,,DIFFM,IO_L74P_4/GCLK2P,UNUSED,,4,,,,,,,,,,
AJ18,,DIFFS,IO_L74N_5/GCLK5S,UNUSED,,5,,,,,,,,,,
AJ19,,DIFFS,IO_L68N_5,UNUSED,,5,,,,,,,,,,
AJ20,,DIFFS,IO_L56N_5,UNUSED,,5,,,,,,,,,,
AJ21,rs232_rtsN,IOB,IO_L50_5/No_Pair,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AJ22,,DIFFM,IO_L44P_5,UNUSED,,5,,,,,,,,,,
AJ23,,DIFFS,IO_L26N_5,UNUSED,,5,,,,,,,,,,
AJ24,,DIFFM,IO_L39P_5,UNUSED,,5,,,,,,,,,,
AJ25,,,VCCO_5,,,5,,,,,2.50,,,,,
AJ26,,DIFFM,IO_L20P_5,UNUSED,,5,,,,,,,,,,
AJ27,reset_n,IOB,IO_L02P_6,INPUT,LVCMOS25*,6,,,,NONE,,LOCATED,,NO,NONE,
AJ28,,DIFFS,IO_L02N_6,UNUSED,,6,,,,,,,,,,
AJ29,,,GND,,,,,,,,,,,,,
AJ30,,DIFFM,IO_L01P_6/VRN_6,UNUSED,,6,,,,,,,,,,
AJ31,,DIFFS,IO_L01N_6/VRP_6,UNUSED,,6,,,,,,,,,,
AJ32,,,VCCO_6,,,6,,,,,2.50,,,,,
AJ33,,DIFFM,IO_L18P_6,UNUSED,,6,,,,,,,,,,
AJ34,,DIFFS,IO_L18N_6,UNUSED,,6,,,,,,,,,,
AK1,,DIFFS,IO_L16N_3,UNUSED,,3,,,,,,,,,,
AK2,,DIFFM,IO_L16P_3,UNUSED,,3,,,,,,,,,,
AK3,adc1sync_n,DIFFS,IO_L03N_3/VREF_3,INPUT,LVDS_25_DT,3,,,,NONE,,LOCATED,,NO,NONE,
AK4,adc1sync_p,DIFFM,IO_L03P_3,INPUT,LVDS_25_DT,3,,,,NONE,,LOCATED,,NO,NONE,
AK5,,,GND,,,,,,,,,,,,,
AK6,,DIFFS,IO_L03N_4/D2,UNUSED,,4,,,,,,,,,,
AK7,,DIFFM,IO_L03P_4/D3,UNUSED,,4,,,,,,,,,,
AK8,,DIFFS,IO_L09N_4,UNUSED,,4,,,,,,,,,,
AK9,,DIFFM,IO_L20P_4,UNUSED,,4,,,,,,,,,,
AK10,,DIFFS,IO_L27N_4,UNUSED,,4,,,,,,,,,,
AK11,,DIFFM,IO_L39P_4,UNUSED,,4,,,,,,,,,,
AK12,,,GND,,,,,,,,,,,,,
AK13,,DIFFM,IO_L44P_4,UNUSED,,4,,,,,,,,,,
AK14,,DIFFM,IO_L53_4/No_Pair,UNUSED,,4,,,,,,,,,,
AK15,,,VCCO_4,,,4,,,,,2.50,,,,,
AK16,,DIFFS,IO_L69N_4,UNUSED,,4,,,,,,,,,,
AK17,adc1clk_n,DIFFS,IO_L75N_4/GCLK1S,INPUT,LVDS_25_DT,4,,,,NONE,,LOCATED,,NO,NONE,
AK18,bref_clk_bottom_p,DIFFM,IO_L75P_5/GCLK6P,INPUT,LVDS_25,5,,,,NONE,,LOCATED,,NO,NONE,
AK19,,DIFFM,IO_L69P_5,UNUSED,,5,,,,,,,,,,
AK20,,,VCCO_5,,,5,,,,,2.50,,,,,
AK21,,DIFFS,IO_L53_5/No_Pair,UNUSED,,5,,,,,,,,,,
AK22,,DIFFS,IO_L44N_5,UNUSED,,5,,,,,,,,,,
AK23,,,GND,,,,,,,,,,,,,
AK24,,DIFFS,IO_L39N_5,UNUSED,,5,,,,,,,,,,
AK25,,DIFFM,IO_L27P_5,UNUSED,,5,,,,,,,,,,
AK26,,DIFFS,IO_L20N_5,UNUSED,,5,,,,,,,,,,
AK27,,DIFFM,IO_L09P_5,UNUSED,,5,,,,,,,,,,
AK28,,DIFFS,IO_L03N_5/D4,UNUSED,,5,,,,,,,,,,
AK29,,DIFFM,IO_L03P_5/D5,UNUSED,,5,,,,,,,,,,
AK30,,,GND,,,,,,,,,,,,,
AK31,,DIFFM,IO_L03P_6,UNUSED,,6,,,,,,,,,,
AK32,i_128w_2k_10_r310iadc_led1_arm_ext<0>,IOB,IO_L03N_6/VREF_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AK33,,DIFFM,IO_L16P_6,UNUSED,,6,,,,,,,,,,
AK34,,DIFFS,IO_L16N_6,UNUSED,,6,,,,,,,,,,
AL1,adc1dataeveni_n<6>,DIFFS,IO_L06N_3,INPUT,LVDS_25_DT,3,,,,NONE,,LOCATED,,NO,NONE,
AL2,adc1dataeveni_p<6>,DIFFM,IO_L06P_3,INPUT,LVDS_25_DT,3,,,,NONE,,LOCATED,,YES,NONE,
AL3,,,VCCAUX,,,,,,,,2.5,,,,,
AL4,,,GND,,,,,,,,,,,,,
AL5,,DIFFS,IO_L01N_4/DOUT,UNUSED,,4,,,,,,,,,,
AL6,,DIFFM,IO_L01P_4/INIT_B,UNUSED,,4,,,,,,,,,,
AL7,,DIFFS,IO_L06N_4/VRP_4,UNUSED,,4,,,,,,,,,,
AL8,,DIFFM,IO_L09P_4/VREF_4,UNUSED,,4,,,,,,,,,,
AL9,,DIFFS,IO_L21N_4,UNUSED,,4,,,,,,,,,,
AL10,,DIFFM,IO_L27P_4/VREF_4,UNUSED,,4,,,,,,,,,,
AL11,,DIFFS,IO_L45N_4,UNUSED,,4,,,,,,,,,,
AL12,,DIFFM,IO_L48P_4,UNUSED,,4,,,,,,,,,,
AL13,,DIFFS,IO_L48N_4,UNUSED,,4,,,,,,,,,,
AL14,,DIFFS,IO_L57N_4,UNUSED,,4,,,,,,,,,,
AL15,,DIFFM,IO_L57P_4/VREF_4,UNUSED,,4,,,,,,,,,,
AL16,,DIFFM,IO_L69P_4/VREF_4,UNUSED,,4,,,,,,,,,,
AL17,adc1clk_p,DIFFM,IO_L75P_4/GCLK0P,INPUT,LVDS_25_DT,4,,,,NONE,,LOCATED,,NO,NONE,
AL18,bref_clk_bottom_n,DIFFS,IO_L75N_5/GCLK7S,INPUT,LVDS_25,5,,,,NONE,,LOCATED,,NO,NONE,
AL19,,DIFFS,IO_L69N_5/VREF_5,UNUSED,,5,,,,,,,,,,
AL20,,DIFFS,IO_L57N_5/VREF_5,UNUSED,,5,,,,,,,,,,
AL21,,DIFFM,IO_L57P_5,UNUSED,,5,,,,,,,,,,
AL22,,DIFFM,IO_L48P_5,UNUSED,,5,,,,,,,,,,
AL23,,DIFFS,IO_L48N_5,UNUSED,,5,,,,,,,,,,
AL24,,DIFFM,IO_L45P_5,UNUSED,,5,,,,,,,,,,
AL25,,DIFFS,IO_L27N_5/VREF_5,UNUSED,,5,,,,,,,,,,
AL26,,DIFFM,IO_L21P_5,UNUSED,,5,,,,,,,,,,
AL27,,DIFFS,IO_L09N_5/VREF_5,UNUSED,,5,,,,,,,,,,
AL28,,DIFFM,IO_L06P_5/VRN_5,UNUSED,,5,,,,,,,,,,
AL29,,DIFFS,IO_L01N_5/RDWR_B,UNUSED,,5,,,,,,,,,,
AL30,,DIFFM,IO_L01P_5/CS_B,UNUSED,,5,,,,,,,,,,
AL31,,,GND,,,,,,,,,,,,,
AL32,,,VCCAUX,,,,,,,,2.5,,,,,
AL33,,DIFFM,IO_L06P_6,UNUSED,,6,,,,,,,,,,
AL34,,DIFFS,IO_L06N_6,UNUSED,,6,,,,,,,,,,
AM1,,,GND,,,,,,,,,,,,,
AM2,,,GND,,,,,,,,,,,,,
AM3,,,VCCAUX,,,,,,,,2.5,,,,,
AM4,,,VCCAUX,,,,,,,,2.5,,,,,
AM5,,,GNDA14,,,,,,,,,,,,,
AM6,,,VCCO_4,,,4,,,,,2.50,,,,,
AM7,,DIFFM,IO_L06P_4/VRN_4,UNUSED,,4,,,,,,,,,,
AM8,,,GNDA16,,,,,,,,,,,,,
AM9,,DIFFM,IO_L21P_4,UNUSED,,4,,,,,,,,,,
AM10,,,GND,,,,,,,,,,,,,
AM11,,DIFFM,IO_L45P_4/VREF_4,UNUSED,,4,,,,,,,,,,
AM12,,,GNDA17,,,,,,,,,,,,,
AM13,,DIFFM,IO_L54P_4,UNUSED,,4,,,,,,,,,,
AM14,,DIFFS,IO_L54N_4,UNUSED,,4,,,,,,,,,,
AM15,,,GNDA18,,,,,,,,,,,,,
AM16,,,GND,,,,,,,,,,,,,
AM17,,,VCCAUX,,,,,,,,2.5,,,,,
AM18,,,VCCAUX,,,,,,,,2.5,,,,,
AM19,,,GND,,,,,,,,,,,,,
AM20,,,GNDA19,,,,,,,,,,,,,
AM21,,DIFFM,IO_L54P_5,UNUSED,,5,,,,,,,,,,
AM22,,DIFFS,IO_L54N_5,UNUSED,,5,,,,,,,,,,
AM23,,,GNDA20,,,,,,,,,,,,,
AM24,,DIFFS,IO_L45N_5/VREF_5,UNUSED,,5,,,,,,,,,,
AM25,,,GND,,,,,,,,,,,,,
AM26,,DIFFS,IO_L21N_5,UNUSED,,5,,,,,,,,,,
AM27,,,GNDA21,,,,,,,,,,,,,
AM28,,DIFFS,IO_L06N_5/VRP_5,UNUSED,,5,,,,,,,,,,
AM29,,,VCCO_5,,,5,,,,,2.50,,,,,
AM30,,,GNDA23,,,,,,,,,,,,,
AM31,,,VCCAUX,,,,,,,,2.5,,,,,
AM32,,,VCCAUX,,,,,,,,2.5,,,,,
AM33,,,GND,,,,,,,,,,,,,
AM34,,,GND,,,,,,,,,,,,,
AN1,,,GND,,,,,,,,,,,,,
AN2,,,AVCCAUXRX14,,,,,,,,2.5,,,,,
AN3,,,VTRXPAD14,,,,,,,,,,,,,
AN4,,,AVCCAUXTX14,,,,,,,,2.5,,,,,
AN5,,,VTTXPAD14,,,,,,,,,,,,,
AN6,,,AVCCAUXRX16,,,,,,,,2.5,,,,,
AN7,,,VTRXPAD16,,,,,,,,,,,,,
AN8,,,AVCCAUXTX16,,,,,,,,2.5,,,,,
AN9,,,VTTXPAD16,,,,,,,,,,,,,
AN10,,,AVCCAUXRX17,,,,,,,,2.5,,,,,
AN11,,,VTRXPAD17,,,,,,,,,,,,,
AN12,,,AVCCAUXTX17,,,,,,,,2.5,,,,,
AN13,,,VTTXPAD17,,,,,,,,,,,,,
AN14,,,AVCCAUXRX18,,,,,,,,2.5,,,,,
AN15,,,VTRXPAD18,,,,,,,,,,,,,
AN16,,,AVCCAUXTX18,,,,,,,,2.5,,,,,
AN17,,,VTTXPAD18,,,,,,,,,,,,,
AN18,,,AVCCAUXRX19,,,,,,,,2.5,,,,,
AN19,,,VTRXPAD19,,,,,,,,,,,,,
AN20,,,AVCCAUXTX19,,,,,,,,2.5,,,,,
AN21,,,VTTXPAD19,,,,,,,,,,,,,
AN22,,,AVCCAUXRX20,,,,,,,,2.5,,,,,
AN23,,,VTRXPAD20,,,,,,,,,,,,,
AN24,,,AVCCAUXTX20,,,,,,,,2.5,,,,,
AN25,,,VTTXPAD20,,,,,,,,,,,,,
AN26,,,AVCCAUXRX21,,,,,,,,2.5,,,,,
AN27,,,VTRXPAD21,,,,,,,,,,,,,
AN28,,,AVCCAUXTX21,,,,,,,,2.5,,,,,
AN29,,,VTTXPAD21,,,,,,,,,,,,,
AN30,,,AVCCAUXRX23,,,,,,,,2.5,,,,,
AN31,,,VTRXPAD23,,,,,,,,,,,,,
AN32,,,AVCCAUXTX23,,,,,,,,2.5,,,,,
AN33,,,VTTXPAD23,,,,,,,,,,,,,
AN34,,,GND,,,,,,,,,,,,,
AP2,,GTIPAD,RXNPAD14,UNUSED,,,,,,,,,,,,
AP3,,GTIPAD,RXPPAD14,UNUSED,,,,,,,,,,,,
AP4,,GTOPAD,TXPPAD14,UNUSED,,,,,,,,,,,,
AP5,,GTOPAD,TXNPAD14,UNUSED,,,,,,,,,,,,
AP6,XAUI1_rx_l0_n,GTIPAD,RXNPAD16,,,,,,,,,LOCATED,,NO,,
AP7,XAUI1_rx_l0_p,GTIPAD,RXPPAD16,,,,,,,,,LOCATED,,NO,,
AP8,XAUI1_tx_l0_p,GTOPAD,TXPPAD16,,,,,,,,,LOCATED,,NO,,
AP9,XAUI1_tx_l0_n,GTOPAD,TXNPAD16,,,,,,,,,LOCATED,,NO,,
AP10,,GTIPAD,RXNPAD17,UNUSED,,,,,,,,,,,,
AP11,,GTIPAD,RXPPAD17,UNUSED,,,,,,,,,,,,
AP12,,GTOPAD,TXPPAD17,UNUSED,,,,,,,,,,,,
AP13,,GTOPAD,TXNPAD17,UNUSED,,,,,,,,,,,,
AP14,XAUI1_rx_l1_n,GTIPAD,RXNPAD18,,,,,,,,,LOCATED,,NO,,
AP15,XAUI1_rx_l1_p,GTIPAD,RXPPAD18,,,,,,,,,LOCATED,,NO,,
AP16,XAUI1_tx_l1_p,GTOPAD,TXPPAD18,,,,,,,,,LOCATED,,NO,,
AP17,XAUI1_tx_l1_n,GTOPAD,TXNPAD18,,,,,,,,,LOCATED,,NO,,
AP18,XAUI1_rx_l2_n,GTIPAD,RXNPAD19,,,,,,,,,LOCATED,,NO,,
AP19,XAUI1_rx_l2_p,GTIPAD,RXPPAD19,,,,,,,,,LOCATED,,NO,,
AP20,XAUI1_tx_l2_p,GTOPAD,TXPPAD19,,,,,,,,,LOCATED,,NO,,
AP21,XAUI1_tx_l2_n,GTOPAD,TXNPAD19,,,,,,,,,LOCATED,,NO,,
AP22,,GTIPAD,RXNPAD20,UNUSED,,,,,,,,,,,,
AP23,,GTIPAD,RXPPAD20,UNUSED,,,,,,,,,,,,
AP24,,GTOPAD,TXPPAD20,UNUSED,,,,,,,,,,,,
AP25,,GTOPAD,TXNPAD20,UNUSED,,,,,,,,,,,,
AP26,XAUI1_rx_l3_n,GTIPAD,RXNPAD21,,,,,,,,,LOCATED,,NO,,
AP27,XAUI1_rx_l3_p,GTIPAD,RXPPAD21,,,,,,,,,LOCATED,,NO,,
AP28,XAUI1_tx_l3_p,GTOPAD,TXPPAD21,,,,,,,,,LOCATED,,NO,,
AP29,XAUI1_tx_l3_n,GTOPAD,TXNPAD21,,,,,,,,,LOCATED,,NO,,
AP30,,GTIPAD,RXNPAD23,UNUSED,,,,,,,,,,,,
AP31,,GTIPAD,RXPPAD23,UNUSED,,,,,,,,,,,,
AP32,,GTOPAD,TXPPAD23,UNUSED,,,,,,,,,,,,
AP33,,GTOPAD,TXNPAD23,UNUSED,,,,,,,,,,,,
B1,,,GND,,,,,,,,,,,,,
B2,,,AVCCAUXRX11,,,,,,,,2.5,,,,,
B3,,,VTRXPAD11,,,,,,,,,,,,,
B4,,,AVCCAUXTX11,,,,,,,,2.5,,,,,
B5,,,VTTXPAD11,,,,,,,,,,,,,
B6,,,AVCCAUXRX9,,,,,,,,2.5,,,,,
B7,,,VTRXPAD9,,,,,,,,,,,,,
B8,,,AVCCAUXTX9,,,,,,,,2.5,,,,,
B9,,,VTTXPAD9,,,,,,,,,,,,,
B10,,,AVCCAUXRX8,,,,,,,,2.5,,,,,
B11,,,VTRXPAD8,,,,,,,,,,,,,
B12,,,AVCCAUXTX8,,,,,,,,2.5,,,,,
B13,,,VTTXPAD8,,,,,,,,,,,,,
B14,,,AVCCAUXRX7,,,,,,,,2.5,,,,,
B15,,,VTRXPAD7,,,,,,,,,,,,,
B16,,,AVCCAUXTX7,,,,,,,,2.5,,,,,
B17,,,VTTXPAD7,,,,,,,,,,,,,
B18,,,AVCCAUXRX6,,,,,,,,2.5,,,,,
B19,,,VTRXPAD6,,,,,,,,,,,,,
B20,,,AVCCAUXTX6,,,,,,,,2.5,,,,,
B21,,,VTTXPAD6,,,,,,,,,,,,,
B22,,,AVCCAUXRX5,,,,,,,,2.5,,,,,
B23,,,VTRXPAD5,,,,,,,,,,,,,
B24,,,AVCCAUXTX5,,,,,,,,2.5,,,,,
B25,,,VTTXPAD5,,,,,,,,,,,,,
B26,,,AVCCAUXRX4,,,,,,,,2.5,,,,,
B27,,,VTRXPAD4,,,,,,,,,,,,,
B28,,,AVCCAUXTX4,,,,,,,,2.5,,,,,
B29,,,VTTXPAD4,,,,,,,,,,,,,
B30,,,AVCCAUXRX2,,,,,,,,2.5,,,,,
B31,,,VTRXPAD2,,,,,,,,,,,,,
B32,,,AVCCAUXTX2,,,,,,,,2.5,,,,,
B33,,,VTTXPAD2,,,,,,,,,,,,,
B34,,,GND,,,,,,,,,,,,,
C1,,,GND,,,,,,,,,,,,,
C2,,,GND,,,,,,,,,,,,,
C3,,,VCCAUX,,,,,,,,2.5,,,,,
C4,,,VCCAUX,,,,,,,,2.5,,,,,
C5,,,GNDA11,,,,,,,,,,,,,
C6,,,VCCO_1,,,1,,,,,2.50,,,,,
C7,,DIFFS,IO_L20N_1,UNUSED,,1,,,,,,,,,,
C8,,,GNDA9,,,,,,,,,,,,,
C9,,DIFFS,IO_L38N_1,UNUSED,,1,,,,,,,,,,
C10,,,GND,,,,,,,,,,,,,
C11,,DIFFS,IO_L47N_1,UNUSED,,1,,,,,,,,,,
C12,,,GNDA8,,,,,,,,,,,,,
C13,,DIFFS,IO_L53_1/No_Pair,UNUSED,,1,,,,,,,,,,
C14,,IOB,IO_L50_1/No_Pair,UNUSED,,1,,,,,,,,,,
C15,,,GNDA7,,,,,,,,,,,,,
C16,,,GND,,,,,,,,,,,,,
C17,,,VCCAUX,,,,,,,,2.5,,,,,
C18,,,VCCAUX,,,,,,,,2.5,,,,,
C19,,,GND,,,,,,,,,,,,,
C20,,,GNDA6,,,,,,,,,,,,,
C21,,IOB,IO_L50_0/No_Pair,UNUSED,,0,,,,,,,,,,
C22,,DIFFM,IO_L53_0/No_Pair,UNUSED,,0,,,,,,,,,,
C23,,,GNDA5,,,,,,,,,,,,,
C24,,DIFFM,IO_L47P_0,UNUSED,,0,,,,,,,,,,
C25,,,GND,,,,,,,,,,,,,
C26,,DIFFM,IO_L38P_0,UNUSED,,0,,,,,,,,,,
C27,,,GNDA4,,,,,,,,,,,,,
C28,,DIFFM,IO_L20P_0,UNUSED,,0,,,,,,,,,,
C29,,,VCCO_0,,,0,,,,,2.50,,,,,
C30,,,GNDA2,,,,,,,,,,,,,
C31,,,VCCAUX,,,,,,,,2.5,,,,,
C32,,,VCCAUX,,,,,,,,2.5,,,,,
C33,,,GND,,,,,,,,,,,,,
C34,,,GND,,,,,,,,,,,,,
D1,,DIFFM,IO_L01P_2/VRN_2,UNUSED,,2,,,,,,,,,,
D2,,DIFFS,IO_L01N_2/VRP_2,UNUSED,,2,,,,,,,,,,
D3,,,VCCAUX,,,,,,,,2.5,,,,,
D4,,,GND,,,,,,,,,,,,,
D5,,DIFFM,IO_L08P_1,UNUSED,,1,,,,,,,,,,
D6,,DIFFS,IO_L08N_1,UNUSED,,1,,,,,,,,,,
D7,,DIFFM,IO_L20P_1,UNUSED,,1,,,,,,,,,,
D8,,DIFFS,IO_L26N_1,UNUSED,,1,,,,,,,,,,
D9,,DIFFM,IO_L38P_1,UNUSED,,1,,,,,,,,,,
D10,,DIFFS,IO_L44N_1,UNUSED,,1,,,,,,,,,,
D11,,DIFFM,IO_L47P_1,UNUSED,,1,,,,,,,,,,
D12,,DIFFS,IO_L46N_1,UNUSED,,1,,,,,,,,,,
D13,,DIFFM,IO_L46P_1,UNUSED,,1,,,,,,,,,,
D14,,DIFFM,IO_L56P_1,UNUSED,,1,,,,,,,,,,
D15,,DIFFS,IO_L56N_1,UNUSED,,1,,,,,,,,,,
D16,,DIFFS,IO_L68N_1,UNUSED,,1,,,,,,,,,,
D17,adc0clk_n,DIFFS,IO_L74N_1/GCLK1P,INPUT,LVDS_25_DT,1,,,,NONE,,LOCATED,,NO,NONE,
D18,sysclk_p,DIFFM,IO_L74P_0/GCLK6S,INPUT,LVDS_25_DT,0,,,,NONE,,LOCATED,,NO,NONE,
D19,,DIFFM,IO_L68P_0,UNUSED,,0,,,,,,,,,,
D20,,DIFFM,IO_L56P_0,UNUSED,,0,,,,,,,,,,
D21,,DIFFS,IO_L56N_0,UNUSED,,0,,,,,,,,,,
D22,,DIFFS,IO_L46N_0,UNUSED,,0,,,,,,,,,,
D23,,DIFFM,IO_L46P_0,UNUSED,,0,,,,,,,,,,
D24,,DIFFS,IO_L47N_0,UNUSED,,0,,,,,,,,,,
D25,,DIFFM,IO_L44P_0,UNUSED,,0,,,,,,,,,,
D26,,DIFFS,IO_L38N_0,UNUSED,,0,,,,,,,,,,
D27,,DIFFM,IO_L26P_0,UNUSED,,0,,,,,,,,,,
D28,,DIFFS,IO_L20N_0,UNUSED,,0,,,,,,,,,,
D29,,DIFFM,IO_L08P_0,UNUSED,,0,,,,,,,,,,
D30,,DIFFS,IO_L08N_0,UNUSED,,0,,,,,,,,,,
D31,,,GND,,,,,,,,,,,,,
D32,,,VCCAUX,,,,,,,,2.5,,,,,
D33,,DIFFS,IO_L01N_7/VRP_7,UNUSED,,7,,,,,,,,,,
D34,,DIFFM,IO_L01P_7/VRN_7,UNUSED,,7,,,,,,,,,,
E1,adc0dataevenq_p<2>,DIFFM,IO_L04P_2,INPUT,LVDS_25_DT,2,,,,NONE,,LOCATED,,YES,NONE,
E2,adc0dataevenq_n<2>,DIFFS,IO_L04N_2/VREF_2,INPUT,LVDS_25_DT,2,,,,NONE,,LOCATED,,NO,NONE,
E3,,DIFFM,IO_L03P_2,UNUSED,,2,,,,,,,,,,
E4,,DIFFS,IO_L03N_2,UNUSED,,2,,,,,,,,,,
E5,,,GND,,,,,,,,,,,,,
E6,,DIFFM,IO_L01P_1/VRN_1,UNUSED,,1,,,,,,,,,,
E7,,DIFFS,IO_L01N_1/VRP_1,UNUSED,,1,,,,,,,,,,
E8,,DIFFM,IO_L26P_1,UNUSED,,1,,,,,,,,,,
E9,,DIFFS,IO_L07N_1,UNUSED,,1,,,,,,,,,,
E10,,DIFFM,IO_L44P_1,UNUSED,,1,,,,,,,,,,
E11,,DIFFS,IO_L19N_1,UNUSED,,1,,,,,,,,,,
E12,,,GND,,,,,,,,,,,,,
E13,,DIFFS,IO_L43N_1,UNUSED,,1,,,,,,,,,,
E14,,DIFFS,IO_L49N_1,UNUSED,,1,,,,,,,,,,
E15,,,VCCO_1,,,1,,,,,2.50,,,,,
E16,,DIFFM,IO_L68P_1,UNUSED,,1,,,,,,,,,,
E17,adc0clk_p,DIFFM,IO_L74P_1/GCLK0S,INPUT,LVDS_25_DT,1,,,,NONE,,LOCATED,,NO,NONE,
E18,sysclk_m,DIFFS,IO_L74N_0/GCLK7P,INPUT,LVDS_25_DT,0,,,,NONE,,LOCATED,,NO,NONE,
E19,,DIFFS,IO_L68N_0,UNUSED,,0,,,,,,,,,,
E20,,,VCCO_0,,,0,,,,,2.50,,,,,
E21,,DIFFM,IO_L49P_0,UNUSED,,0,,,,,,,,,,
E22,,DIFFM,IO_L43P_0,UNUSED,,0,,,,,,,,,,
E23,,,GND,,,,,,,,,,,,,
E24,,DIFFM,IO_L19P_0,UNUSED,,0,,,,,,,,,,
E25,,DIFFS,IO_L44N_0,UNUSED,,0,,,,,,,,,,
E26,,DIFFM,IO_L07P_0,UNUSED,,0,,,,,,,,,,
E27,,DIFFS,IO_L26N_0,UNUSED,,0,,,,,,,,,,
E28,,DIFFM,IO_L01P_0/VRN_0,UNUSED,,0,,,,,,,,,,
E29,,DIFFS,IO_L01N_0/VRP_0,UNUSED,,0,,,,,,,,,,
E30,,,GND,,,,,,,,,,,,,
E31,,DIFFS,IO_L03N_7,UNUSED,,7,,,,,,,,,,
E32,,DIFFM,IO_L03P_7,UNUSED,,7,,,,,,,,,,
E33,,DIFFS,IO_L04N_7/VREF_7,UNUSED,,7,,,,,,,,,,
E34,,DIFFM,IO_L04P_7,UNUSED,,7,,,,,,,,,,
F1,,DIFFM,IO_L17P_2,UNUSED,,2,,,,,,,,,,
F2,,DIFFS,IO_L17N_2,UNUSED,,2,,,,,,,,,,
F3,,,VCCO_2,,,2,,,,,2.50,,,,,
F4,adc0dataevenq_p<1>,DIFFM,IO_L06P_2,INPUT,LVDS_25_DT,2,,,,NONE,,LOCATED,,YES,NONE,
F5,adc0dataevenq_n<1>,DIFFS,IO_L06N_2,INPUT,LVDS_25_DT,2,,,,NONE,,LOCATED,,NO,NONE,
F6,,,GND,,,,,,,,,,,,,
F7,adc0dataevenq_p<3>,DIFFM,IO_L02P_2,INPUT,LVDS_25_DT,2,,,,NONE,,LOCATED,,YES,NONE,
F8,adc0dataevenq_n<3>,DIFFS,IO_L02N_2,INPUT,LVDS_25_DT,2,,,,NONE,,LOCATED,,NO,NONE,
F9,,DIFFM,IO_L07P_1,UNUSED,,1,,,,,,,,,,
F10,,,VCCO_1,,,1,,,,,2.50,,,,,
F11,,DIFFM,IO_L19P_1,UNUSED,,1,,,,,,,,,,
F12,,DIFFS,IO_L25N_1,UNUSED,,1,,,,,,,,,,
F13,,DIFFM,IO_L43P_1,UNUSED,,1,,,,,,,,,,
F14,,DIFFM,IO_L49P_1,UNUSED,,1,,,,,,,,,,
F15,,DIFFS,IO_L55N_1,UNUSED,,1,,,,,,,,,,
F16,,DIFFS,IO_L67N_1,UNUSED,,1,,,,,,,,,,
F17,,DIFFS,IO_L73N_1,UNUSED,,1,,,,,,,,,,
F18,,DIFFM,IO_L73P_0,UNUSED,,0,,,,,,,,,,
F19,,DIFFM,IO_L67P_0,UNUSED,,0,,,,,,,,,,
F20,,DIFFM,IO_L55P_0,UNUSED,,0,,,,,,,,,,
